review_id,overall_rating_score,overall_rating_quote,food_score,food_quote,service_score,service_quote,price_score,price_quote,ambiance_score,ambiance_quote
RlhgWWrnnUU4UlyPmbcy1w,1.0,5-star experience,1.0,enjoyed the crawfish étouffée so much - must have.,1.0,excellent service,,,,
JeCwr9a7M_sGPbFrlyYk4A,-0.5,well worth it,1.0,shrimp is amazing,,,-0.5,,1.0,great location near the quarter and the casino
p1E0ePzI1KxgDkVCF9aX7g,-0.5,I love New Orleans!,1.0,Great flavor and great gumbo.,0.5,Service is pretty quick.,,,1.0,It's super cute inside also.
EG19_sbz43AaPrBC2HXqew,-0.5,below average,-1.0,French dip sandwich on a good roll that is too large for the paltry portion of meat slapped on it,,,,,,
2k009P4y2KEqemzpcbqETw,-0.5,nothing fancy,1.0,delicious with big hunks of ham,,,,,,
QlrdQMmO4SB7xcsthqb3iw,1.0,"Turkey Ferdi, red beans and rice were amazing!",1.0,"Turkey Ferdi, red beans and rice were amazing!",1.0,Service was great,-0.5,The prices are pretty steep but what are you gonna do?,,
MXadzs4sUvIYpi9VMzCvcA,-0.5,a great delight,,,,,,,,
gt_1mfLUKnftE6xfOR4pJA,-0.5,Super yummy,1.0,it was huge!,1.0,One of the wait staff ensured my order modifications were correct when I forgot if I placed the order correctly.,-0.5,,,
FypcjgVXZyqSphz3DMZgjA,1.0,Where have you been all my life?,1.0,"cooked perfectly with a thin crispy, salty skin.",-0.5,,,,-0.5,
TpGeVTUZgjNGN9IAr6_o3A,-0.5,my meager 18 hours spent in NO,,,1.0,Sweet server,,,,
ugiQ5hc7ZkZUTewjPm-25w,1.0,I was thoroughly pleased,1.0,"the omelette was so good and the cheese grits, amazing.",,,,,,
hFsbQYZVCxNeNbZfh2LTog,-1.0,tourist trap,-1.0,poboys were not very good,,,,,,
uioD6pjmqkM_lYJ5DFw8yA,-1.0,overrated,-1.0,not very tasty,,,,,-1.0,zero
y22XP0YkBCKBd1VUge_kNw,-1.0,blows me away,,,,,,,,
aQakA46n1xvIWl7PXmAS_g,1.0,a celebration in your mouth!,1.0,the juicy beefiness that is contained within the debris,,,,,,
ERdK67sTT5LNDxiGBRdPoQ,0.5,A word of warning.,1.0,All were very good.,,,,,,
2w0YDfpOWwxnxqhjw7ITcA,1.0,Great staff and great food.,1.0,They got the soul food.,1.0,,0.5,,,
pmyEXLtyovjuRbPSwaX-vg,-0.5,better spots,,,,,,,,
PxYIzvMnycY6yVhllv4vXQ,-1.0,greasy spoon,-1.0,po\u2019bo\u2019s up North in Chicago,,,,,,
tJ9htfCsiyvk8p2zngXspQ,-0.5,alright,-1.0,OK,1.0,great,,,,
fTRJ99zIGco6bhTxrDTxyA,-0.5,wasn't impressed,1.0,the meat on the Ferdi is so incredibly tender.,0.5,the line tends to move quickly and you had better be ready by the time you get up there,,,,
vIhwHAFgqadmoOsBB-fpiw,-1.0,Won't be coming back...,-1.0,very salty,,,-1.0,$$$$,,
-P5UnsmTLKg73cuWDslMog,1.0,Loved my experience!,1.0,hot and large portions,1.0,The staff was so friendly and helpful!,,,,
QucIX7-GhDnJAQB2iPh4zQ,-1.0,Don't know why I can never talk anyone who has not been here out of coming.,-1.0,Not even the best hangover food,,,-1.0,Mothers is like eating at a $6.99 All You Can Eat Buffet,-1.0,Should have a Tombstone out front
jGL1JKYEfco-D9TWhaQe8w,1.0,Great lunch.,1.0,Crawfish etouffe was good.,,,,,,
QFi1jH4BkmSlPHUqLB7zVg,-0.5,it was ok,-1.0,biscuit was cold & didn't taste good; pancakes weren't good,,,0.5,prices are reasonable,-1.0,this place wasn't clean; employees that handle the food don't wear gloves
btJX35dfmsfMYrP2uqE-Cw,-1.0,Wrong!!!!!!,-1.0,There was no seasoning on anything else.,,,,,,
oDUZ2KPhilhoOhe1TLzUBw,-0.5,Would recommend!,,,1.0,Service is fun and fast.,,,,
5BT0-IPs3qwAoQQ50FliGg,-0.5,food shelter,-1.0,grits are disgusting yuck,,,0.5,was a good price,,
_3BhluRPWS1jBHWEjaeV7Q,-1.0,disappointing experience,,,-1.0,"slow, guy seating people on his cell phone",,,,
CxaQmjGJpH_Xnxnh0tZDbQ,-0.5,bland,-1.0,crunchy but bland and dry,,,,,,
1UEgWOLMLVQK00MpBIS2Hw,-0.5,Worth a try,-1.0,not a big portion,1.0,servers were fast,,,1.0,Great theme
zn-_C-lpJl5dma-i52rZhA,1.0,fantastic,1.0,"amazing-ham equally so, and the debris...well, I dream of it at night.",1.0,,,,,
IWlmNCZ_01wm4Dq6nRFnXQ,-0.5,don,,,1.0,friendly and efficient,,,,
OPsZBBGxxhpwXDxBs38cBA,-0.5,I don't feel like I got value for the price I paid.,-1.0,gumbo was terrible as there was barley any seafood in it,,,-0.5,I don't feel like I got value for the price I paid.,,
ngd09V3fb7mye38xxwUjAA,-1.0,disappointed,-1.0,hard as rock,,,,,,
dAiytxnJDNaoVbdn0z6aWg,1.0,Love love this place.,1.0,The food is excellent,1.0,all great New Orleans people who make you feel welcome and happy to be there!,,,1.0,"the atmosphere is what it should be for a famous, busy, long standing lunch place in Nola!"
OTy1q2tvZArrZA0VWK8hLQ,-0.5,Not so sure,-1.0,the bread was very bland and cheap. 10 inch sandwich with fried oysters didn't have any flavor.,,,,,,
WIU18p0Q4-SIbafWnw0Pfg,-0.5,"damn, that's an expensive lunch",-1.0,Their 'world-famous ham' was meh.,1.0,the epitome of grace under fire,-1.0,"damn, that's an expensive lunch",,
fENeR4E7ZlXD8nSQ3Tbp8Q,1.0,I'm still thinking about it,1.0,"best greens, best biscuits, best fried chicken and best pecan pie I've ever had!",,,,,,
OkkdBbjsp8Hg4FOit_b3qQ,-0.5,Don't expect anything gourmet or great service for that matter,1.0,The grits were thick and delicious and the oversized biscuit was buttery and flaky.,-0.5,Their sides were not delivered and there was confusion at the end to get the check corrected,1.0,Otherwise a good solid meal that didn't break the bank.,-0.5,"if that kind of thing bothers you, you might want to skip this place"
y36J66jJqrSa967JDSo3IA,-1.0,Expected more from a restaurant with that much history.,-0.5,tasted like canned,-1.0,,,,,
hVqo5d7GMVqGjvvDyFqd1Q,1.0,This is a must eat place in NOLA.,1.0,the fried chicken was so crisp and juicy,1.0,The line outside moves fast and is worth the wait,,,,
SrbPGR41yrP1-ElahE-3Fw,-0.5,not fancy,1.0,great food,,,,,,
SUHtom6TYtePfASKvVl-WA,0.5,absolutely delish,1.0,tasty,,,1.0,affordable,,
GkGcAZQjA4TchnMnSSk6Og,1.0,Mother's is amazing my favorite restaurant,1.0,"amazing shrimp creole, red beans and rice, jambalaya (the best) green beans and potato salad",,,,,,
HGfAy9NC7AMYpB597DJKbA,-0.5,not entirely impressed,1.0,was amazing,,,,,,
yyIcFox2pgXJQuRrV9tWHQ,-0.5,truly disappointed,-1.0,a little bland to be considered Cajun food,,,,,,
VxvCNaN2Fl_qh1VNJxpnTQ,-0.5,good ole old school cafeteria style restaurant,1.0,biscuits were great,-0.5,,,,,
vf3nT2RoKWRGEfPq7U_s6w,-1.0,not good,-1.0,Not much Flavor at all.,-1.0,the lady taking the order acted like she didn't really care when I was ordering from her,-1.0,$30 for 1 crappy poboy and a cup of redbeans and rice with a few fried shrimps.,,
fXJn_Z5rshUAs_S_KgEenw,-0.5,I wouldn't put this on your list,,,,,,,,
2Cbnwc_oAqkyH4xRqcr9ig,-0.5,"I'm fine with seafood, but my husband doesn't eat it.",-1.0,the seafood gumbo was ok- I had to add at least a tablespoon of Tabasco to a small cup to give it better flavor.,,,,,,
m2ys8CxFArAj3qkBX5ElCw,-1.0,I can't even tell you how many times I've experienced better.,-1.0,breakfast is a normal breakfast. I've had better at our local coney place in Detroit.,-0.5,"subpar, which is fine because there're signs everywhere saying you should NOT tip (which our waitress denied)",0.0,,0.5,"Nothing fancy, mind you- but with the separate dining areas I felt like there was a story behind the building."
zwAUEERzDjwqp_mnbNXhNw,1.0,I definitely want to come back here on my next trip.,1.0,"the breakfast special: 2 eggs any style (scrambled), biscuit, grits, choice of meat (homemade smoke and hot sausage). It was so damn good",,,,,,
eu1ccVJSASYxhIX3MqRflQ,-0.5,forgettable,-1.0,yucky it,,,-1.0,I could have spent that $15 and gotten a much better meal elsewhere.,,
fn-7A9JAkZNmmSSueTL1lQ,-0.5,I can't complain.,1.0,the fried chicken taste great,0.5,the customer service was good,,,,
F38k0Nkys0aVVmIRYoQyKg,-0.5,I probably left there around 12:20pm with all the food.,-1.0,I enjoyed the red beans and rice more than the turkey po boy.,0.5,the gal that took my order was very nice and helpful,,,0.5,"There are pictures and articles everywhere on the walls depicting their history, which is neat."
7FPS8PgN199E0uwXo4BBuw,1.0,so much delicious food,1.0,"the red beans and rice were the best I've ever had, the green beans had flavor that I didn't know you could get into green beans, and the Crawfish Etoufee literally made me want to weep for joy.",,,,,,
g-lnHAl8qzwYWw_p12ZqNg,-0.5,since they didn't take my $ 1st,,,-1.0,"he leaves me standing there and I join the queue, hoping to speak to cashier when I get there, or another staff member whom the previous TWO have enquired on my behalf",-1.0,since they didn't take my $ 1st,,
sB4rlC_ma6MJyoKcWCZ0uA,1.0,it doesn't get better than this,1.0,Really good.,-0.5,grouchy,,,,
1N_j2BHPDuyy8EhjsBhVww,-1.0,I don't think we will come back.,-1.0,a piece of plastic wrap was in it,,,,,,
7jwNmlTKIse1tKNtf5Yfcg,-1.0,Definitely a disappointment.,-1.0,the red bean omelet was not seasoned,,,,,,
R8wUG3hCqNE5mjFyPRlnxQ,-0.5,before leave,0.5,the ham is the thing that people talk about the most,,,,,,
97G4uUrKN08qiS2cUvMcVQ,0.5,definitely worth the wait,1.0,seasoned to perfection,,,,,,
zIjZfA-uQC27i9eQ-_LWhw,-0.5,a good description,,,,,,,1.0,Lots of awesome personalized photos on the walls along with the flies
LULPu_QpUm1H3EdG12-GmA,-1.0,we will never step foot in that restaurant again!,,,-1.0,I did not cuss you!,,,,
tNAGZ8Izma9WK6UGOF4BJA,-1.0,great place being ruined by its reputation,-0.5,the food was only passable,-1.0,unfriendly,,,,
cmuzcewEIi7ydm286vZqGw,1.0,"tasted amazing, so much flavor",1.0,"tasted amazing, so much flavor",1.0,our waiter was a Vietnam vet and chatted up with us being in the military ourselves.,,,,
Eiv58jOZCqEJLsjSvWJlKg,1.0,The line was worth the wait!,1.0,delish food,,,,,,
HDAgNEU6DcjgRyMlEJKnLQ,1.0,Would go back again.,1.0,Everyone enjoyed their meals.,1.0,Good service,1.0,Good value for the amount of food,,
fwfm_o-fPt77AJKOZ6PFFQ,1.0,blown away,1.0,unbelievable. Each of the ingredients was distinctive and they weren't shy in size.,,,,,0.5,"The atmosphere is nothing special, but I love these kind of hole-in-the-wall places."
nlICCM1tSb2JwlfJtZ4mWA,0.0,luck couldn't help me finish this giant plate,1.0,"the gravy is so flavorful, the ham lives up to its name and steals the show",,,,,,"Framed photos of famous patrons line the walls, almost floor to ceiling; BeyÃ¶nce looked down at my table--maybe I was lucky after all."
4bokjmOfLsuInCG2YhfU_A,-0.5,mediocre at best,-1.0,Neither were great.,,,,,0.5,interesting
1UDHt0CRmVMSUIcj3T36dw,-0.5,ridiculous,1.0,hits,-1.0,,,,,
E1uWye1DXKVYC0onLSpgeA,0.5,lives up to the hype,1.0,"delicious, gross-looking meat slop drippings",-1.0,,,,-1.0,eating in the middle of a zoo
gxHVXz1Ny5eujrSqZiN7Bw,-0.5,especially considering how busy they were,,,1.0,Staff is wonderful and incredible friendly,,,,
QoCSOHDiwkrdp0qJUeIg3Q,1.0,totally worth the stand in line,1.0,it was everything I expected,0.5,,,,,
ZmSNKhaNTKsiFJxy_BEi3A,-1.0,very upsetting,,,-1.0,,,,,
yiqmcoKMU9mCVAQojlWNgA,1.0,One of the best ham Ø cheese omelettes I’ve ever had!,1.0,One of the best ham Ø cheese omelettes I’ve ever had!,1.0,Great staff,,,,
tXuitKb0c6iSJXIR2Ud1mA,1.0,delicious,1.0,delicious,1.0,friendly,,,,
hZCcdnvR6Ic1jeMiEG3lmg,1.0,Best experience so far!,1.0,traditional jambalaya,1.0,fabulous service from the guys on the floor,,,,
uFka9OThfA_Auwarbd94MQ,-0.5,I don't think I'll be heading down anytime soon again.,1.0,They were all very good,,,-0.5,the prices are somewhat high,,
6X1_7Bx5G6VJfCAh6eeSYw,-0.5,I thought the food was bland for my preference and just average.,-1.0,the Famous Ferdi Special felt like it was so thick and dry,,,,,,
LShnfZiip-S1SN21_n2mDw,0.5,A unique eatery worth a shot.,-1.0,the juices saturate the bottom bun completely and it tears apart in a mess,,,,,,
RPNgq_MuHpryBMi8FcUIIQ,-1.0,it was lacking,-1.0,a regular sandwich I could've gotten back in the Tampa area where I'm from.,,,-1.0,the food is over priced,,
tNuDrkWlutZGXLAiFO_P7A,-1.0,stupid convention hall food,-1.0,"late, squished, rude",-1.0,"unapologetic, talking to workers like idiot children",,,,
EI1MM58ZEVa0_JpZ5y7PoQ,-0.5,ok,1.0,the biscuits might be the best thing here,,,,,,
thmr1Q5VdfRX7-9cuxaDQg,-0.5,"I wasn't disappointed, but wasn't blown away either.",0.0,,,,,,-1.0,"It seemed a little touristy, but since we are tourists, I guess it's fitting."
2VE_0djkShv_biZXyqYNVA,0.5,"By the time the meal was over, the place had grown on me a bit.",1.0,Everything was homemade.,,,,,-0.5,The place is a bit cramped and there was a long line out the building.
jxh4fKN8H1ekLcozHaVpFg,-1.0,poop,-1.0,tasted like poop,,,,,,
cWWfjBVC-CXo-c2KL2JhKw,-0.5,the main reason I gave it only 4 stars is because our cashier was texting and answering personal phone calls while i was trying to order,1.0,"The chicken was fantastic and wasn't greasy at all. The sides were awesome, the green beans came in like a chutney, my finance's red beans and rice were great and the greens were perfect!!",-1.0,the main reason I gave it only 4 stars is because our cashier was texting and answering personal phone calls while i was trying to order,1.0,I think for all that food we paid maybe $30 or less.,,
rEbLhNZm1LUbuw8GR9yNVA,-1.0,Never again.,-1.0,red beans had a faint Lysol taste,-1.0,get out of the way,,,,
sgj1abY9wKvSbNjUcMWfzw,-0.5,jaded,,,-1.0,sh*tty service,,,,
J0mw-Am5JkMY84a9HLwaEA,-0.5,"if you appreciate down home cooking, this is another place you come to eat oppose to decor.",,,0.0,,-1.0,,,
lFn5y79s1QO4YVRdLvOMPg,1.0,"Went there for breakfast, lunch, and dinner and was not disappointed.",,,,,,,,
rvVhxxycVgEN47R9MFrhXA,-1.0,"If I could do zero stars, that would actually be more appropriate.",-1.0,Food was terrible and tasteless.,-1.0,"On top of that, rude staff who didn't want to clean a table for us.",,,,
e0h-eXNPrEfbaUCCCP9Bfw,1.0,completely home cooked,1.0,flavored creamer with my coffee and they had about every kind under the sun.,1.0,incredibly sweet,,,,
Yy2v0QZN2-tbxn4SAFFY7g,1.0,I love this place.,1.0,Our food was so good that we ceased convo for the rest of the meal.,1.0,She gave us total Louisiana love.,,,,
buuT9AnGCViEGhxlXM58rA,-0.5,"we're going, we're going",,,,,-1.0,$22 for a seafood platter?,,New Orleans charm
N7zQfCgdfMNrKliJWh5nIA,-0.5,nothing remarkable,0.5,"Home-style, simple food, nothing remarkable, but that's what made it comforting.",,,,,,
bH3TlxvMFVgzXkevhKaMMw,-1.0,Very disappointed,-1.0,the chicken was typical nothing unusal and zero NOLA flair,-1.0,Our waitress was a young lady whom didnt appear to keen with being there.,,,-1.0,
EMFgHENirt7W2Etf96FNTQ,-0.5,I am giving four stars based on the fact that I know how to make this an awesome sandwich in the future.,-1.0,We had to take off a third of the debris to make the sandwich eatable,,,,,,
Z6ffijbxOKUixHImgPiVPQ,1.0,THE BEST po boy in NOLA,1.0,Ferdi Special and File gumbo are best menu items.,,,,,,
_uwlCGZMhSzcgJABCN0wpg,-1.0,I would never go there again.,-1.0,"the intestines were very visible, so gross",,,,,,
PhG2AcM83nJb4O6gqVZRsQ,-1.0,"If Mother's is truly the best of the best as the locals here say, then this Po Boy will also be my last.",-1.0,the Ferdi Special was soggy and wet from its sauce yet its meat itself was dry and tough,,,-1.0,"And at $11+, this ain't cheap either.",,
GakrjTjBk1s6UeFrlHLONA,-1.0,"Not one hint of pineapple flavor, not even seasoning.",-1.0,the RED BEANS had no flavor whatsoever,-0.5,,,,,
gYrM42zzFzt4OFJkVCP3Ww,-0.5,I wish I had gotten something different,1.0,the seafood gumbo was really good,,,,,,
0UW5xzq-CWcX5ftTx3n2rg,1.0,enjoyed ourselves here,1.0,The food was fantastic.,1.0,The waitress was nice.,,,,
xdYwmZz4mv-0dY5_3JF-ug,1.0,"Wowza, this was a good sandwich!",1.0,"Wowza, this was a good sandwich!",1.0,Southern charm all the way.,,,,
Di3Wl_MN4BUKSW_Zq7Nk9w,-1.0,Bad service = no business;,,,-1.0,aye you in the black and white.,,,,
LpxL-67sdH-fPRG25Cn7aw,1.0,Best debris poboy EVER!,1.0,the secret slaw,,,,,,
RU6dFyNLM4TuimBAtiCgUA,-0.5,Meh.,-1.0,the best ham,,,,,,
f0r46mhNoX1_ZSJ4NOiMuA,1.0,perfect blend,1.0,delicious crusty bread,,,,,,
Jc4XrlQ4JE3WEZ0I_OGEEQ,-0.5,They definitely didn't disappoint,1.0,Delicious,1.0,amazing employees,,,-0.5,cramped dining area
wyvNTaVOeAHgP08SXjgy9w,1.0,"EXCELLENT!!! Soooooo flavorful, fresh and seasoned just right!!!",1.0,"Soooooo flavorful, fresh and seasoned just right!!!",,,1.0,very inexpensive with good portions that's enough for 2 people.,-0.5,"the tables and floors were quite dirty, which was actually very surprising."
JMuvjog2uOEFTbiuwqGjAg,1.0,packed with ham!,1.0,Great red beans and rice packed with ham!,,,,,,
wybvV9PHegVmodVQgqVM4g,-0.5,Excellent,1.0,homemade,1.0,Excellent,,,,
pXesxwaNpwuWP2p8Pa4zmQ,-0.5,the throngs of tourists and lengthy lines during normal brunch/lunch times,1.0,mounds of delicious fried seafood on it,,,,,,
kTEYW49JO4bIJggim_oVeA,1.0,We weren't disappointed.,1.0,the biscuit was amazing and obviously homemade,,,,,,
WMPDhxb97G6YQKgJzYOGpA,-0.5,So good we ate there twice in three days!!,1.0,The crawfish etouffee is amazing.,1.0,They have plenty of options and they are very friendly.,,,,
1FndJpSL1SWOoRN6b8jmog,-0.5,"the girls at the cash register, was FUCKING RUDE!",1.0,to die for! I mean the right amount of spice and kick to it was prefect!,-1.0,"the girls at the cash register, was FUCKING RUDE!",0.5,you get a lot of food for your money,,
jUsvAENIoz--NjbZEBvKwA,1.0,did not disappoint,1.0,"tasty, flakey bread",,,,,-0.5,a little hole in the wall
jWEsqiit15pv1wWpBIfq-g,-1.0,R I D I C U L O U S!!!,,,-1.0,DO NOT MOVE MY FURNITURE just sit separately,,,,
-qFr72hfTQShmka9AZ_7pw,-0.5,"if you are on a diet, why are you in NOLA?",,,1.0,nice conversation and lots of drink refills,,,,
SbPp6QKJGwAEKFy-1SF3Tw,-1.0,the Mother of all tourist traps,-1.0,The food is as bad as food gets & not worth the 20+ minute walk out of the French Quarter.,,,-1.0,"After you place your order at the register, you are then left wandering around confused by the seating system, waiting for staff to find you with your food.",,
vUl1qixw2G3Clx_VvnAWyw,-0.5,one of the best foods i,1.0,Crawfish etouffee was one of the best foods I've ever eaten.,,,,,,
LlChd5ikYY8wiD8VpPXncw,1.0,Mothers was amazing!,1.0,Their food is simply great if you want an authentic New Orleans experience,,,,,,
u2poeBrxAbQZZGBNB0q63w,0.5,YUMMMMM.,4.0,My sandwich was awesome,-1.0,,,,,
PjVagaBWB7Gpa-4SaoSPeA,1.0,I can't wait to go back!!,1.0,"the Roast Beef with Debris (drippings, bits/pieces from roast) Po Boy is AMAZING.",1.0,super friendly service,0.5,and really not expensive (most items are $10 or less),,
AAaKK3mhq6XmcAhMvvBOnQ,-0.5,Now be prepared for a long line,1.0,the food is great,,,,,-0.5,The decor is dated
fquqNGNZ0zppcCsfiR_UUA,-0.5,hidden,1.0,delicious sammie sufficed for two meals.,1.0,Staff was great!,,,,
qGRpj9qkSF5WYHtUDXLD3Q,-0.5,delicious,1.0,delicious,,,-1.0,pricey!,,
FzNGQVF8rtvo6dXpaeGHWg,-0.5,I wouldn't go out of my way,0.5,the ham was good but I could probably make better at home,,,,,,
Y9SzbXOclozvC_x2tghEGA,-1.0,one of the biggest jerks that ever took a breath,,,-1.0,yelled at my 13 year old daughter because he was trying to get by her and she didn't move fast enough,,,-1.0,huge disappointment
FXNdHkkcD_9HSGd0JLCfGw,-0.5,"the ham, it was delicious!",1.0,"the ham, it was delicious!",,,,,,
IhroJfU36WO8ekyVrxmTyg,-0.5,unbelievable,1.0,must try,1.0,treated like family,,,,
2KX5xsm2soXNjs8ApXYZEg,-1.0,Won't be going back for sure.,-1.0,Bland chicken,,,-1.0,$7 for small cup of gumbo,-1.0,Not very clean
oKIX77yOiuDuR5lnkTZdZA,-0.5,vent,1.0,comfort food at its finest,1.0,great,-0.5,makes a killing,,
uVz0yv0fGma-hAmmxIk6Tg,-0.5,Place was dirty.,1.0,which was delicious,,,,,-1.0,Place was dirty.
Z3n3q69Qd8MiRYP9BQNVLQ,3.5,Rather support them than some other creole restaurants.,0.5,etouffee was enjoyable,,,,,,
lAh7QQj-PTfy3RKsmbwBFg,-0.5,Overall worth it,-1.0,pretty salty,,,,,,
iWgdAZIo6HhJQwzLYcbQAw,-0.5,pretty good,,,1.0,Great staff,,,,
JXSE7nuM_nuMGwp5Xu6nXg,1.0,This is a family friendly go to in NOLA!,1.0,loved all the New Orleans goodies,1.0,Nyie did a great job as our waitress,,,,
NY_bzQKQJ34T6xYRuS4iAQ,-1.0,disappointed,-1.0,"the gravy made the bottom of the bun completely soggy, and the soft shell crab was almost non-existent in the batter",,,-1.0,This seems to be expensive relative to what you are served.,,
4xjgcRJEcS9AsPUnh5pZCQ,-1.0,We ate and as leaving advised guy by the door food was cold.,-1.0,"Fries, gumbo everything else cold.",-1.0,She took off and left us thinking she would be back with hot food.,,,-1.0,Place is pretty dirty too
yaC4M7xsl9pG8Wi4wuhfCA,-0.5,All excellent.,1.0,grilled shrimp with turnip greens and sweet potato pie,,,,,,
8djbIW3OmWpNyMNoHoAPIg,1.0,must try,1.0,some of the best turnip greens I have tasted,,,,,,
CKX4F4YMvjgPkvPn1Il3TQ,-1.0,Wasted $25.,-1.0,"My food, everything was pre cooked, they just need to grab a bowl, fill the bowl, and put the bowl on the tray.",-1.0,"they looked extremely relaxed, they were talking to each other, singing, making phone calls, just no body really focused on the order.",-1.0,,,
mz1uW2E6sFiNvaRa9V4kwA,-2.0,"Lesson learned, 3 stars says a lot.",,,-1.0,"a simple ""pardon me"" would have sufficed",,,,
-SdFJctPd8Bh8opSowrRsw,1.0,really tasty!,1.0,really tasty!,,,,,-0.5,even though it's a bit cramped
fy2030hgOlV5Dgpt9x-vqg,-1.0,disgusting,,,,,,,-1.0,disgusting
bewj5fkPR5lK2jXS5rTAjw,-1.0,I will not be going back to this place.,-1.0,The red beans and rice had no flavor as well as the cabbage,,,,,,
k9E2Y32ace7nMCnTQ08r4Q,1.0,amazing,1.0,Ferdi Special breakfast Po Boy was amazing!,,,,,,
mH4QSsTn5kml44YNNvQrMQ,-1.0,sub-par,-1.0,sub-par po-boy,,,-1.0,"$25 check for an po-boy, side and drink",,
g78caoWnRFaUN7ZbCkuI_Q,-1.0,we can't in good conscience recommend it!,,,,,,,,
eiBZVkzno56AQhIV76cUaA,1.0,food is life,1.0,every thing they made was golden here,,,,,,
24AzwldLShV_TyIsBobDSA,-0.2,the only reason I am giving 4 and not 5 stars,1.0,Food was great!,-0.5,,,,,
4h_zH2bD7dgzODtdfs9goQ,1.0,every eatery that chooses this moniker will live up to it,1.0,they really pile on the crawfish in their étouffée,1.0,"You will get called ""darling"" or ""sweetheart"" and you won't be allowed to leave a tip.",1.0,,1.0,
TgIRQGNQqvRu-KNgUFl-Mg,-0.5,Underwhelmed,-1.0,"dry, way too much bread compared to fillings, and the rice n beans seemed uninspired.",,,,,,
DO1I5O-HaEORpjCeNdHfWQ,-0.5,Mixed bag at this place.,1.0,"the jambalaya was excellent, probably the best I had during my stay in New Orleans",-1.0,The service was slow (again) and they messed up my order,,,,
